name,price,regular_price,discount_price
"4K UHD OLED SMART TV LG OLED 65 C41 LA 65""(165.1cm)",84.999,119.999,84.999
"4K UHD SMART TV SONY KD 65 X85 LAEP 65""(165.1cm)",86.999,86.999,86.999
SAMSUNG FRAME QE 65 LS03F AUXXH,89.999,105.999,89.999
SAMSUNG QE 55 S90F AEXXH,93.999,114.999,93.999
SAMSUNG QE 65 QN80F AUXXH,94.999,102.999,94.999
SAMSUNG UE 85 U8072F UXXH,94.999,109.999,94.999
SAMSUNG QE 55 QN90F ATXXH,96.699,102.999,96.699
"4K 120Hz QNED SMART TV LG 86 QNED 91T3A, 86""(218.5cm)",99.995,159.999,99.995
LG 65 B53 LA,99.999,99.999,99.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"4К OLED UHD Smart TV SAMSUNG QE 65 S90 DATXXH 65""(165.1cm)",99.999,124.999,99.999
"4K UHD Smart QD-Mini LED TCL 75 C855, 75""(190.5cm)",102.999,122.999,102.999
TCL 85 C803,105.999,115.999,105.999
LG 55 G51 LW,106.999,119.999,106.999
"4K Mini LED UHD Smart SONY K65 XR70 PAEP, 65""(163.9cm)",107.999,131.999,107.999
LG 65 C51 LA,111.999,111.999,111.999
LG UHD 98 UT91006 LA,113.999,113.999,113.999
"4K UHD Smart TCL 98 C61B, 98""(248.9cm)",114.999,178.999,114.999
"8К Mini LED Smart TV SAMSUNG QE 65 QN800 DTXXH 65"" (165.1cm)",115.995,184.999,115.995
SAMSUNG QE 55 S95F ATXXH,117.999,142.999,117.999
"4K UHD SMART TV LG OLED 77 C41 LA 77""(195cm)",119.999,155.999,119.999
"4K OLED UHD Smart SONY K65 XR80 PAEP, 65""(163.9cm)",122.999,144.999,122.999
"4K QLED UHD Smart HISENSE 100 E7 NQ PRO, 100""(254cm)",129.999,129.999,129.999
SAMSUNG QE 65 S90F ATXXH,131.999,142.999,131.999
LG 65 G51 LW,139.999,147.999,139.999
"4К UHD Smart TV SAMSUNG UE 98 DU 9072 UXXH 98"" (248.92cm)",149.999,209.999,149.999
LG 77 C51 LA,161.999,161.999,161.999
SAMSUNG QE 65 S95F ATXXH,164.999,198.999,164.999
SAMSUNG QE 77 S90 FAEXXH,219.999,229.999,219.999
LG 83 C51 LA,219.999,229.999,219.999
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
"HD Smart TV FUEGO 32 EL 720 GTV 32"" (81cm)",6.499,7.999,6.499
"HD Smart HISENSE 32 A4 N, 32""(81.3cm)",8.499,9.599,8.499
"FHD Smart TV FUEGO 40 EL 720 GTV 40""(100cm)",8.799,10.999,8.799
HISENSE 32 A4Q,9.599,9.599,9.599
"FHD Smart TV FUEGO 43 EL 720 GTV 43""(109cm)",9.999,11.999,9.999
"FHD Smart HISENSE 40 A4 N, 40""(101.6cm)",10.999,11.999,10.999
"4K UHD Smart TV FUEGO 43 ELU 720 GTV 43""(109cm)",10.999,13.999,10.999
"SMART HD LED PHILIPS 32 PHS 6808, 32"" (82cm), Wi-Fi",11.499,14.499,11.499
HISENSE 40 A4Q,11.999,11.999,11.999
PHILIPS 32 PHS 6000,11.999,11.999,11.999
"HD SMART LED TV LG 32 LQ630B6LA, 32""(81cm), α5 Gen5, Wifi",11.999,15.999,11.999
"FHD SMART TV HOOBART 43 DS 620 AND T, 43""(109cm)",13.499,13.499,13.499
"FHD Smart TCL 43 S51B , 43""(109cm)",13.499,16.499,13.499
"4K Smart TV FUEGO 50 ELU 720 GTV  50""(127cm)",13.499,16.999,13.499
"4k UHD SMART TV GRUNDIG 43 GHU 7800 B, 43""(108cm)",13.995,18.999,13.995
LG 32 LQ 63006 LA,13.999,13.999,13.999
"4K UHD Smart HISENSE 43 A6 N, 43""(108cm)",13.999,16.499,13.999
LG 32 LQ 63006 LA,13.999,19.599,13.999
"UltraHD SMART LED TV GRUNDIG 43 GHU 7970 B, 43""(108cm)",14.995,20.999,14.995
GRUNDIG 43 GHU 7850 B,15.499,18.999,15.499
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
