name,price
"Notebook Lenovo IP3 Pentium7505/4GB/256GB/15.6"" FullHD/DOS/UltraSlim/Gray","12.980,00 ден."
"Notebook Lenovo Yoga Pro 7 Ryzen AI 9 365 32GB/1TB/14.5"" 3K OLED 90Hz w/Backlit KB","76.980,00 ден."
"Notebook Lenovo ThinkPad E14 G5 Ryzen7 7730U/16GB/512GB/14"" WUXGA IPS 300/GigaLAN/Backlit/DOS/Black","47.480,00 ден."
"Notebook Apple MacBook Air M4 10C CPU/16GB/256GB SSD/Apple 8C GPU/13.6"" LED IPS/Backlit Kb/Starlight","72.980,00 ден."
"Notebook Apple MacBook Air M4 10C CPU/16GB/512GB SSD/Apple 10C GPU/13.6"" LED IPS/Backlit Kb/Silver","87.980,00 ден."
"Notebook Apple MacBook Air M3 Octa Core/16GB/256GB SSD/Apple 8C GPU/13.6"" LED IPS/Backlit Kb/SpaceG","66.980,00 ден."
"Notebook Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/16"" WUXGA 165Hz/Backlit Kb/DOS","44.980,00 ден."
"Notebook Acer Swift GO 16 Ultra 7 155H/32GB DDR5/1TB/16"" 3.2K OLED 120Hz/Thunderbolt","77.980,00 ден."
"Notebook Dell Vostro 3520 i3-1215U/8GB/512GB/Intel UHD/15.6"" FHD 120Hz/BacklitKB/Dos/Black","19.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-14700HX/32GB/1TB/RTX5060 8GB/15.6"" IPS 144Hz G-Sync","81.980,00 ден."
"Notebook Lenovo LOQ Gaming i7-13650HX/16GB/1TB/RTX4060 8GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey","65.980,00 ден."
"Notebook HP EliteBook 650 G10 i5-1345U/16GB/512GB/15.6"" FHD IPS/Backlit Kb/Win11Pro/3YearWarr","67.980,00 ден."
"Notebook Samsung Galaxy Book 4 Ultra 7 150U/16GB/512GB /15.6"" FHD/Win11/Silver","44.980,00 ден."
"Notebook Dell Inspiron 7440 2in1 Ultra 5 120U/8GB/512GB SSD/14"" FHD Touch/Win11H/Ice Blue","44.980,00 ден."
"Notebook Apple MacBook Pro M3 Max 14C CPU/36GB/1TB SSD/Apple 30C GPU/14.2"" XDR 120Hz/Backlit Kb/Slv","189.980,00 ден."
"Notebook Lenovo ThinkPad E16 G2 Ultra 5 125U/16GB/512GB/16"" WUXGA IPS/Backlit KB/FP//Dos","61.980,00 ден."
"Notebook HP Spectre x360 2-in-1 Ultra 7 155H/16GB/1TB SSD/14"" 2.8K OLED Touch/Backlit/FP/Win11","89.980,00 ден."
"Notebook HP Envy x360 2-in-1 Ultra 7 155U/16GB/512GB/16"" 2K IPS Touch/Backlit/FP/Win11","79.980,00 ден."
"Notebook Lenovo IdeaPad Pro 5 Ultra 5 225H/24GB/512GB/14"" 2.8K OLED 120Hz/BacklitKB","49.980,00 ден."
"Notebook Lenovo IP3 i7-1255U/16GB/512GB/15.6"" FullHD/DOS/ArcticGray","28.980,00 ден."
"Notebook Apple MacBook Air M4 10C CPU/16GB/512GB SSD/Apple 10C GPU/13.6"" LED IPS/Backlit Kb/Sky Blue","87.980,00 ден."
"Notebook HP Envy x360 2in1 Ryzen5 8640HS/16GB/512GB/16"" FHD IPS Touch/Backlit Kb/Win11/Silver","53.980,00 ден."
"Notebook HP Envy x360 2in1 Ultra 7 155U/16GB/1TB/14"" 2.8K Touch OLED 400n 120Hz/Backlit/Blue/Win11","79.980,00 ден."
"Notebook Lenovo IdeaPad Slim 3 i7-13620H/16GB/1TB/15.3"" WUXGA IPS/No OS","35.980,00 ден."
"Notebook Apple MacBook Air M4 10C CPU/16GB/256GB SSD/Apple 8C GPU/13.6"" LED IPS/Backlit Kb/Sky Blue","72.980,00 ден."
"Notebook Apple MacBook Air M4 10C CPU/16GB/256GB SSD/Apple 8C GPU/13.6"" LED IPS/Backlit Kb/Midnight","72.980,00 ден."
"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/32GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS","54.980,00 ден."
"Notebook Dell Vostro 5625 Ryzen5 5625U/8GB/256GB SSD/16"" FHD+/BacklitKB/Win11Pro","33.980,00 ден."
"Notebook Acer Nitro AN515 Gaming i7-11800H/16GB/512GB SSD/GTX1650 4GB/15.6"" FullHD IPS 144Hz/Black","38.980,00 ден."
"Notebook Apple MacBook Pro M4 Pro 14C CPU/24GB/512GB SSD/Apple 20C GPU/16.2"" XDR 120Hz/Backlit Kb/SL","168.980,00 ден."
"[OUTLET] Notebook HP EliteBook 735 Ryzen7 3700U/16GB/256GB SSD/13.3"" FullHD Touch/BacklitKB/Win10Pro","18.980,00 ден."
"Notebook Dell Latitude 3520 i5-1135G7/16GB/256GB/15.6"" FHD/FRP/BacklitKB/Win11Pro","38.980,00 ден."
"Notebook Acer Swift GO 14 Ultra 7 155H/32GB DDR5/1TB/14"" 2.8K OLED 120Hz/Thunderbolt","71.980,00 ден."
"Notebook HP ProBook 470 G10 i7-1355U/16GB/512GB/17.3"" FullHD IPS/HDMI/USB-C/RJ45/DOS","49.980,00 ден."
