name,price
Лаптоп ASUS ZenBook S 13 OLED UM5302TA-OLED-LX731X / Touch Screen /Win 11 Pro  (Blue),"50,495 ден."
Лаптоп ASUS ExpertBook B9 B9400CBA-KC0354X / Win 11 Pro,"50,495 ден."
Лаптоп LENOVO GAMING LOQ 15IRX9 (Black),"50,499 ден."
Лаптоп ASUS Vivobook S 16 OLED M5606KA-RI074 ( Star Black ),"52,499 ден."
Лаптоп ASUS ZenBook 14 OLED UX3405MA-QD089W / Win 11,"52,499 ден."
Лаптоп Lenovo ThinkBook 16 G7 IML (Gray),"52,499 ден."
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),"53,499 ден."
Лаптоп ASUS  B1502CVA-UI73C0X / Win 11 Pro ( Star Black ) US MIL-STD 810H military-grade standard,"53,499 ден."
Лаптоп ASUS Vivobook S 14 OLED S5406SA-QD053W / Win 11 (  Neutral Black ),"54,999 ден."
Лаптоп ASUS Vivobook S Flip OLED TN3402YA-KN031W/TouchScreen  / Win 11 (  Quiet Blue ),"54,999 ден."
Лаптоп Lenovo ThinkBook 14 G7 IML (Gray),"55,499 ден."
Лаптоп ACER Nitro 5 ANV15-51-75D3 -Процесор Intel® Core™ i7-13620H ( 24MB Cache,"55,999 ден."
Лаптоп ASUS Vivobook S Flip TN3402YA-OLED-KN731W/TouchScreen  / Win 11 ( Cool Silver ),"56,499 ден."
Лаптоп ASUS TUF GAMING FA507NUR-LP083,"56,499 ден."
Лаптоп ASUS Vivobook 16 Flip OLED TP3607SA-RJ005 / Touch screen / ASUS Backpack ( Matte Gray ),"56,999 ден."
Лаптоп HP Victus  GAMING 15-fa1039nia (Black),"57,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Midnight )","58,499 ден."
Лаптоп Lenovo ThinkPad E14 Gen 6,"58,499 ден."
Лаптоп ASUS VivoBook 16X K3604VA-OLED-L731W  / Win 11 ( Cool Silver ),"58,499 ден."
Лаптоп ASUS Vivobook Pro 15 OLED K6502VU-MA095 ( Cool Silver ),"58,499 ден."
Лаптоп LENOVO Yoga 7 OLED 2-in-1 14AKP10 / Touchscreen /Win 11,"59,499 ден."
Лаптоп ACER Nitro 5 AN517-41-R61H  - Процесор AMD Ryzen™ 7 5800H (16MB Cache,"59,999 ден."
"Лаптоп Apple MacBook Air 15.6"" ( Starlight )","60,495 ден."
"Лаптоп Apple MacBook Air 15.6"" ( Starlight )","60,495 ден."
"Лаптоп Apple MacBook Air 15.6"" ( Midnight )","60,495 ден."
Лаптоп ASUS Vivobook S 16 OLED M5606KA-RI079 ( Star Black ),"60,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Silver )","60,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Space Gray )","60,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Starlight )","60,499 ден."
"Лаптоп Apple MacBook Air 13.6"" ( Midnight )","60,499 ден."
Лаптоп ASUS ZenBook 14 OLED UX3405CA-QL278 /TouchScreen / with ASUS Sleeve ( Foggy Silver ),"60,499 ден."
Лаптоп Lenovo ThinkBook 16 G7 IML (Gray),"61,499 ден."
Лаптоп ASUS Vivobook S 15 OLED S5507QA-MA067W / Win 11 ( Black ),"61,999 ден."
Лаптоп ASUS Zenbook UX5304VA-OLED-NQ732X,"62,499 ден."
Лаптоп LENOVO GAMING LOQ 15ARP9 (Black),"62,499 ден."
Лаптоп ASUS TUF FX607JU-N3070,"63,499 ден."
Лаптоп LENOVO GAMING LOQ 15IRX9 (Black),"63,499 ден."
Лаптоп DELL Latitude 5550,"63,499 ден."
Лаптоп LENOVO Yoga 7 2-in-1 14IML9 / Touchscreen /Win 11 ( Tidal Teal ) / TouchScreen / Win 11,"63,999 ден."
Лаптоп LENOVO Yoga 7 2-in-1 14IML9 / Touchscreen / Win 11 ( Tidal Teal ),"63,999 ден."
"Лаптоп Apple MacBook Air 15.3"" ( STARLIGHT )","64,495 ден."
Лаптоп ASUS TUF GAMING FA507NVR-LP006,"64,499 ден."
Лаптоп ASUS ZenBook 14 OLED UM3406KA-QD092W / Win 11 ( Jade Black ),"64,499 ден."
